rMATs_id	group_id	reference_id	unified_event_id	motif_id	upstream_ref	upstream_var	exon_ref	exon_var	downstream_ref	downstream_var
TIA1_HepG2|28332_SE	32137	398	398;SE:398:44-212:305-1004:+	TIA1	0.038346012542785246	0.03144472200287041	0.06336104813664356	0.06336104813664356	0.005334743233348149	0.005334743233348149
TIA1_HepG2|28332_SE	32137	398	398;SE:398:44-250:305-1004:+	TIA1	0.058857831983782916	0.051956541443868076	0.04284922869564589	0.04284922869564589	0.005334743233348149	0.005334743233348149
TIA1_HepG2|28332_SE	18569	398	398;SE:398:44-212:305-1004:+	TIA1	0.038346012542785246	0.037977926682838614	0.06336104813664356	0.06336104813664356	0.005334743233348149	0.005334743233348149
TIA1_HepG2|28332_SE	18569	398	398;SE:398:44-250:305-1004:+	TIA1	0.058857831983782916	0.058489746123836284	0.04284922869564589	0.04284922869564589	0.005334743233348149	0.005334743233348149
TIA1_HepG2|28332_SE	28117	398	398;SE:398:44-212:305-1004:+	TIA1	0.038346012542785246	0.03931732101864327	0.06336104813664356	0.06336104813664356	0.005334743233348149	0.005334743233348149
TIA1_HepG2|28332_SE	28117	398	398;SE:398:44-250:305-1004:+	TIA1	0.058857831983782916	0.05982914045964094	0.04284922869564589	0.04284922869564589	0.005334743233348149	0.005334743233348149
TIA1_HepG2|28332_SE	16275	398	398;SE:398:44-212:305-1004:+	TIA1	0.038346012542785246	0.04164483429935828	0.06336104813664356	0.06336104813664356	0.005334743233348149	0.005334743233348149
TIA1_HepG2|28332_SE	16275	398	398;SE:398:44-250:305-1004:+	TIA1	0.058857831983782916	0.06215665374035595	0.04284922869564589	0.04284922869564589	0.005334743233348149	0.005334743233348149
TIA1_HepG2|28332_SE	20101	398	398;SE:398:44-212:305-1004:+	TIA1	0.038346012542785246	0.031510020070808054	0.06336104813664356	0.06336104813664356	0.005334743233348149	0.005334743233348149
TIA1_HepG2|28332_SE	20101	398	398;SE:398:44-250:305-1004:+	TIA1	0.058857831983782916	0.05202183951180572	0.04284922869564589	0.04284922869564589	0.005334743233348149	0.005334743233348149
TIA1_HepG2|28332_SE	8424	398	398;SE:398:44-212:305-1004:+	TIA1	0.038346012542785246	0.03741074100535613	0.06336104813664356	0.06336104813664356	0.005334743233348149	0.005334743233348149
