group_id	event_id	ref_id	event_type	long_3SS_ref_maxEntScan	long_3SS_var_maxEntScan	short_3SS_ref_maxEntScan	short_3SS_var_maxEntScan	long_3SS_status	short_3SS_status
10003	10003;A3:10003:44-219:44-239:+	7099	A3	6.22	6.22	1.63	2.76	Same	Same
10005	10005;A3:10005:44-176:44-213:+	3817	A3	11.21	11.21	5.57	3.42	Same	Same
10006	10006;A3:10006:44-160:44-212:+	14612	A3	7.85	7.85	6.57	6.57	Same	Same
10009	10009;A3:10009:44-212:44-267:+	25564	A3	4.3	4.3	-0.66	-0.66	Same	Same
10011	10011;A3:10011:44-232:44-258:+	4433	A3	11.11	11.11	-12.63	-12.1	Same	Other_non-canonical
10013	10013;A3:10013:44-219:44-232:+	27687	A3	-4.76	-4.76	6.8	6.8	Same	Same
10015	10015;A3:10015:44-205:44-264:+	25281	A3	9.74	9.74	7.22	7.88	Same	Same
10016	10016;A3:10016:44-164:44-205:+	30103	A3	8.01	8.01	8.33	8.33	Same	Same
10018	10018;A3:10018:44-273:44-277:+	23539	A3	7.67	6.99	-3.38	-2.38	Same	Same
1001	1001;A3:1001:44-206:44-264:+	1602	A3	7.13	7.13	1.12	2.8	Same	Same
1001	1001;A3:1001:44-206:44-221:+	1602	A3	7.13	7.13	-14.07	-14.07	Same	Same
1001	1001;A3:1001:44-206:44-208:+	1602	A3	7.13	7.13	-8.94	-8.94	Same	Same
1001	1001;A3:1001:44-206:44-254:+	1602	A3	7.13	7.13	4.52	4.52	Same	Same
1001	1001;A3:1001:44-221:44-264:+	1602	A3	-14.07	-14.07	1.12	2.8	Same	Same
1001	1001;A3:1001:44-221:44-254:+	1602	A3	-14.07	-14.07	4.52	4.52	Same	Same
1001	1001;A3:1001:44-208:44-264:+	1602	A3	-8.94	-8.94	1.12	2.8	Same	Same
1001	1001;A3:1001:44-208:44-221:+	1602	A3	-8.94	-8.94	-14.07	-14.07	Same	Same
1001	1001;A3:1001:44-208:44-254:+	1602	A3	-8.94	-8.94	4.52	4.52	Same	Same
1001	1001;A3:1001:44-254:44-264:+	1602	A3	4.52	4.52	1.12	2.8	Same	Same
10024	10024;A3:10024:44-273:44-277:+	23539	A3	7.67	7.63	-3.38	-4.13	Same	Same
10026	10026;A3:10026:44-207:44-212:+	1684	A3	13.07	13.07	3.11	3.11	Same	Same
10027	10027;A3:10027:44-163:44-212:+	5371	A3	0.83	0.83	7.95	7.95	Same	Same
10027	10027;A3:10027:44-163:44-166:+	5371	A3	0.83	0.83	-0.86	-0.86	Same	Same
10027	10027;A3:10027:44-166:44-212:+	5371	A3	-0.86	-0.86	7.95	7.95	Same	Same
10029	10029;A3:10029:44-219:44-243:+	23637	A3	9.13	9.13	-21.45	-29.41	Same	Destroyed
10032	10032;A3:10032:44-215:44-226:+	14030	A3	8.45	8.45	2.1	2.1	Same	Same
10034	10034;A3:10034:44-164:44-253:+	10145	A3	6.42	6.42	6.95	0.22	Same	Same
10036	10036;A3:10036:44-209:44-230:+	16137	A3	3.1	3.1	3.79	3.79	Same	Same
10039	10039;A3:10039:44-159:44-209:+	19490	A3	7.26	7.26	7.54	7.54	Same	Same
10043	10043;A3:10043:44-239:44-243:+	9613	A3	-3.05	3.96	4.74	-1.14	Created	Same
10044	10044;A3:10044:44-209:44-230:+	16137	A3	3.1	3.1	3.79	3.79	Same	Same
10046	10046;A3:10046:44-231:44-252:+	21970	A3	10.95	10.95	-1.53	-18.5	Same	Destroyed
10046	10046;A3:10046:44-132:44-231:+	21970	A3	5.87	5.87	10.95	10.95	Same	Same
10046	10046;A3:10046:44-132:44-167:+	21970	A3	5.87	5.87	2.19	2.19	Same	Same
10046	10046;A3:10046:44-132:44-252:+	21970	A3	5.87	5.87	-1.53	-18.5	Same	Destroyed
10046	10046;A3:10046:44-167:44-231:+	21970	A3	2.19	2.19	10.95	10.95	Same	Same
10046	10046;A3:10046:44-167:44-252:+	21970	A3	2.19	2.19	-1.53	-18.5	Same	Destroyed
10047	10047;A3:10047:44-216:44-230:+	20679	A3	7.18	7.18	0.04	0.04	Same	Same
10048	10048;A3:10048:44-160:44-212:+	14612	A3	7.85	7.85	6.57	6.57	Same	Same
1004	1004;A3:1004:44-248:44-250:+	27200	A3	0.08	0.08	-11.85	-11.85	Same	Same
1004	1004;A3:1004:44-213:44-248:+	27200	A3	1.86	1.86	0.08	0.08	Same	Same
1004	1004;A3:1004:44-213:44-250:+	27200	A3	1.86	1.86	-11.85	-11.85	Same	Same
10050	10050;A3:10050:44-206:44-237:+	30306	A3	7.63	7.63	6.81	6.16	Same	Same
10051	10051;A3:10051:44-166:44-212:+	5371	A3	-0.86	-0.86	7.95	7.95	Same	Same
10053	10053;A3:10053:44-205:44-212:+	14858	A3	7.1	7.1	0.48	0.48	Same	Same
10059	10059;A3:10059:44-207:44-224:+	8154	A3	7.52	7.52	-13.49	-13.74	Same	Same
10059	10059;A3:10059:44-170:44-207:+	8154	A3	2.26	2.26	7.52	7.52	Same	Same
10059	10059;A3:10059:44-170:44-224:+	8154	A3	2.26	2.26	-13.49	-13.74	Same	Same
10059	10059;A3:10059:44-161:44-207:+	8154	A3	7.89	7.89	7.52	7.52	Same	Same
10059	10059;A3:10059:44-161:44-170:+	8154	A3	7.89	7.89	2.26	2.26	Same	Same
10059	10059;A3:10059:44-161:44-224:+	8154	A3	7.89	7.89	-13.49	-13.74	Same	Same
10060	10060;A3:10060:44-160:44-216:+	3506	A3	3.77	3.77	12.04	12.04	Same	Same
10062	10062;A3:10062:44-171:44-205:+	4123	A3	5.23	5.23	6.2	10.28	Same	Same
10067	10067;A3:10067:44-212:44-250:+	398	A3	8.37	8.37	10.62	10.62	Same	Same
10069	10069;A3:10069:44-227:44-232:+	12410	A3	10.1	10.1	-7.32	-7.32	Same	Same
10072	10072;A3:10072:44-210:44-226:+	19313	A3	5.75	5.75	0.12	0.12	Same	Same
10074	10074;A3:10074:44-161:44-240:+	28323	A3	8.36	8.36	10.51	10.51	Same	Same
10077	10077;A3:10077:44-160:44-216:+	3506	A3	3.77	3.77	12.04	12.04	Same	Same
10077	10077;A3:10077:44-160:44-184:+	3506	A3	3.77	3.77	-3.57	-3.57	Same	Same
10077	10077;A3:10077:44-184:44-216:+	3506	A3	-3.57	-3.57	12.04	12.04	Same	Same
1007	1007;A3:1007:44-205:44-216:+	14003	A3	8.68	8.68	6.32	6.32	Same	Same
10080	10080;A3:10080:44-212:44-267:+	25564	A3	4.3	4.3	-0.66	-0.66	Same	Same
10081	10081;A3:10081:44-206:44-238:+	17483	A3	6.21	6.21	0.4	-4.01	Same	Same
10081	10081;A3:10081:44-206:44-265:+	17483	A3	6.21	6.21	0.47	0.47	Same	Same
10081	10081;A3:10081:44-206:44-251:+	17483	A3	6.21	6.21	-3.84	-3.69	Same	Same
10081	10081;A3:10081:44-238:44-265:+	17483	A3	0.4	-4.01	0.47	0.47	Same	Same
10081	10081;A3:10081:44-238:44-251:+	17483	A3	0.4	-4.01	-3.84	-3.69	Same	Same
10081	10081;A3:10081:44-251:44-265:+	17483	A3	-3.84	-3.69	0.47	0.47	Same	Same
10084	10084;A3:10084:44-207:44-211:+	1987	A3	8.82	5.58	6.55	6.48	Same	Same
10084	10084;A3:10084:44-159:44-207:+	1987	A3	10.11	10.11	8.82	5.58	Same	Same
10084	10084;A3:10084:44-159:44-211:+	1987	A3	10.11	10.11	6.55	6.48	Same	Same
10088	10088;A3:10088:44-219:44-243:+	23637	A3	9.13	9.13	-21.45	-21.45	Same	Same
1008	1008;A3:1008:44-212:44-222:+	27690	A3	3.67	3.67	-11.07	-11.07	Same	Same
1008	1008;A3:1008:44-212:44-256:+	27690	A3	3.67	3.67	-2.54	-2.54	Same	Same
1008	1008;A3:1008:44-222:44-256:+	27690	A3	-11.07	-11.07	-2.54	-2.54	Same	Same
10093	10093;A3:10093:44-248:44-250:+	27200	A3	0.08	0.08	-11.85	-11.85	Same	Same
10093	10093;A3:10093:44-213:44-248:+	27200	A3	1.86	1.86	0.08	0.08	Same	Same
10093	10093;A3:10093:44-213:44-250:+	27200	A3	1.86	1.86	-11.85	-11.85	Same	Same
10099	10099;A3:10099:44-214:44-228:+	23090	A3	3.89	3.89	-0.07	-0.07	Same	Same
10099	10099;A3:10099:44-214:44-225:+	23090	A3	3.89	3.89	-2.74	-2.74	Same	Same
10099	10099;A3:10099:44-225:44-228:+	23090	A3	-2.74	-2.74	-0.07	-0.07	Same	Same
1009	1009;A3:1009:44-206:44-264:+	1602	A3	7.13	7.13	1.12	-15.43	Same	Destroyed
100	100;A3:100:44-160:44-216:+	3506	A3	3.77	3.77	12.04	12.04	Same	Same
100	100;A3:100:44-160:44-184:+	3506	A3	3.77	3.77	-3.57	-3.57	Same	Same
100	100;A3:100:44-184:44-216:+	3506	A3	-3.57	-3.57	12.04	12.04	Same	Same
10101	10101;A3:10101:44-177:44-215:+	2924	A3	-6.47	-6.47	10.92	10.92	Same	Same
10102	10102;A3:10102:44-185:44-219:+	7099	A3	5.68	5.68	6.22	6.22	Same	Same
10105	10105;A3:10105:44-198:44-219:+	54	A3	2.12	2.12	7.27	7.27	Same	Same
10107	10107;A3:10107:44-166:44-213:+	30615	A3	7.32	7.32	13.21	13.21	Same	Same
10108	10108;A3:10108:44-165:44-221:+	3147	A3	6.16	6.16	7.34	7.34	Same	Same
10109	10109;A3:10109:44-212:44-241:+	5371	A3	7.95	7.95	7.47	7.6	Same	Same
10109	10109;A3:10109:44-166:44-212:+	5371	A3	-0.86	-0.86	7.95	7.95	Same	Same
10109	10109;A3:10109:44-166:44-241:+	5371	A3	-0.86	-0.86	7.47	7.6	Same	Same
10109	10109;A3:10109:44-163:44-212:+	5371	A3	0.83	0.83	7.95	7.95	Same	Same
10109	10109;A3:10109:44-163:44-166:+	5371	A3	0.83	0.83	-0.86	-0.86	Same	Same
10109	10109;A3:10109:44-163:44-241:+	5371	A3	0.83	0.83	7.47	7.6	Same	Same
10117	10117;A3:10117:44-220:44-227:+	5970	A3	7.1	7.1	0.48	0.48	Same	Same
10119	10119;A3:10119:44-212:44-229:+	3543	A3	9.75	9.75	6.25	6.25	Same	Same
1011	1011;A3:1011:44-205:44-216:+	14003	A3	8.68	8.68	6.32	6.32	Same	Same
10121	10121;A3:10121:44-214:44-243:+	23841	A3	10.89	10.89	0.07	10.81	Same	Same
10121	10121;A3:10121:44-214:44-250:+	23841	A3	10.89	10.89	-1.4	-1.82	Same	Same
10121	10121;A3:10121:44-243:44-250:+	23841	A3	0.07	10.81	-1.4	-1.82	Same	Same
10121	10121;A3:10121:44-191:44-214:+	23841	A3	2.43	2.43	10.89	10.89	Same	Same
10121	10121;A3:10121:44-191:44-243:+	23841	A3	2.43	2.43	0.07	10.81	Same	Same
10121	10121;A3:10121:44-191:44-250:+	23841	A3	2.43	2.43	-1.4	-1.82	Same	Same
10123	10123;A3:10123:44-214:44-243:+	2596	A3	5.4	5.4	-1.36	-1.36	Same	Same
10125	10125;A3:10125:44-205:44-216:+	14003	A3	8.68	8.68	6.32	5.32	Same	Same
10126	10126;A3:10126:44-219:44-243:+	23637	A3	9.13	9.13	-21.45	-21.45	Same	Same
1012	1012;A3:1012:44-211:44-225:+	13565	A3	6.71	6.71	3.19	3.19	Same	Same
1012	1012;A3:1012:44-211:44-267:+	13565	A3	6.71	6.71	5.08	3.57	Same	Same
1012	1012;A3:1012:44-225:44-267:+	13565	A3	3.19	3.19	5.08	3.57	Same	Same
10134	10134;A3:10134:44-210:44-226:+	19313	A3	5.75	5.75	0.12	0.39	Same	Same
10135	10135;A3:10135:44-222:44-228:+	4463	A3	8.73	8.73	-0.23	-0.23	Same	Same
10145	10145;A3:10145:44-164:44-253:+	10145	A3	6.42	6.42	6.95	6.95	Same	Same
10147	10147;A3:10147:44-176:44-227:+	11733	A3	-2.92	-2.92	6.9	6.9	Same	Same
10149	10149;A3:10149:44-188:44-205:+	18111	A3	3.39	3.39	6.36	6.36	Same	Same
10150	10150;A3:10150:44-208:44-243:+	4705	A3	4.51	4.51	-0.03	1.57	Same	Same
10150	10150;A3:10150:44-208:44-280:+	4705	A3	4.51	4.51	-1.11	-1.11	Same	Same
10150	10150;A3:10150:44-243:44-280:+	4705	A3	-0.03	1.57	-1.11	-1.11	Same	Same
10151	10151;A3:10151:44-212:44-222:+	27690	A3	3.67	3.67	-11.07	-11.07	Same	Same
10151	10151;A3:10151:44-212:44-256:+	27690	A3	3.67	3.67	-2.54	-1.36	Same	Same
10151	10151;A3:10151:44-222:44-256:+	27690	A3	-11.07	-11.07	-2.54	-1.36	Same	Same
10154	10154;A3:10154:44-205:44-271:+	30968	A3	8.97	8.97	-6.01	0.63	Same	Same
10154	10154;A3:10154:44-205:44-208:+	30968	A3	8.97	8.97	6.3	6.3	Same	Same
10154	10154;A3:10154:44-208:44-271:+	30968	A3	6.3	6.3	-6.01	0.63	Same	Same
10155	10155;A3:10155:44-209:44-214:+	20011	A3	9.07	9.07	0.38	0.38	Same	Same
10157	10157;A3:10157:44-214:44-243:+	2596	A3	5.4	5.4	-1.36	-1.36	Same	Same
10157	10157;A3:10157:44-214:44-249:+	2596	A3	5.4	5.4	-13.12	-13.12	Same	Same
10157	10157;A3:10157:44-243:44-249:+	2596	A3	-1.36	-1.36	-13.12	-13.12	Same	Same
10160	10160;A3:10160:44-225:44-245:+	31177	A3	-1.06	-1.06	5.42	5.42	Same	Same
10160	10160;A3:10160:44-220:44-225:+	31177	A3	-3.21	-3.21	-1.06	-1.06	Same	Same
10160	10160;A3:10160:44-220:44-245:+	31177	A3	-3.21	-3.21	5.42	5.42	Same	Same
10161	10161;A3:10161:44-176:44-227:+	11733	A3	-2.92	-2.92	6.9	6.9	Same	Same
10163	10163;A3:10163:44-215:44-226:+	14030	A3	8.45	8.45	2.1	2.1	Same	Same
10164	10164;A3:10164:44-209:44-225:+	15458	A3	11.55	11.55	7.43	7.43	Same	Same
10164	10164;A3:10164:44-160:44-209:+	15458	A3	8.08	8.08	11.55	11.55	Same	Same
10164	10164;A3:10164:44-160:44-225:+	15458	A3	8.08	8.08	7.43	7.43	Same	Same
10167	10167;A3:10167:44-166:44-213:+	30615	A3	7.32	7.32	13.21	13.21	Same	Same
1016	1016;A3:1016:44-242:44-246:+	24819	A3	6.36	6.36	-2.04	-2.04	Same	Same
10170	10170;A3:10170:44-157:44-218:+	1192	A3	9.66	9.66	8.95	8.95	Same	Same
10172	10172;A3:10172:44-208:44-220:+	4705	A3	4.51	4.51	-4.38	-4.38	Same	Same
10172	10172;A3:10172:44-158:44-208:+	4705	A3	10.25	10.25	4.51	4.51	Same	Same
10172	10172;A3:10172:44-158:44-220:+	4705	A3	10.25	10.25	-4.38	-4.38	Same	Same
10173	10173;A3:10173:44-160:44-212:+	14612	A3	7.85	7.85	6.57	6.57	Same	Same
10177	10177;A3:10177:44-215:44-247:+	14030	A3	8.45	8.45	-1.76	-1.17	Same	Same
10177	10177;A3:10177:44-215:44-226:+	14030	A3	8.45	8.45	2.1	2.1	Same	Same
10177	10177;A3:10177:44-226:44-247:+	14030	A3	2.1	2.1	-1.76	-1.17	Same	Same
1017	1017;A3:1017:44-209:44-214:+	29422	A3	13.62	13.62	4.16	4.16	Same	Same
1017	1017;A3:1017:44-209:44-252:+	29422	A3	13.62	13.62	5.37	5.37	Same	Same
1017	1017;A3:1017:44-214:44-252:+	29422	A3	4.16	4.16	5.37	5.37	Same	Same
10186	10186;A3:10186:44-207:44-224:+	8154	A3	7.52	7.52	-13.49	-13.41	Same	Same
10186	10186;A3:10186:44-170:44-207:+	8154	A3	2.26	2.26	7.52	7.52	Same	Same
10186	10186;A3:10186:44-170:44-224:+	8154	A3	2.26	2.26	-13.49	-13.41	Same	Same
10186	10186;A3:10186:44-161:44-207:+	8154	A3	7.89	7.89	7.52	7.52	Same	Same
10186	10186;A3:10186:44-161:44-170:+	8154	A3	7.89	7.89	2.26	2.26	Same	Same
10186	10186;A3:10186:44-161:44-224:+	8154	A3	7.89	7.89	-13.49	-13.41	Same	Same
10187	10187;A3:10187:44-160:44-216:+	3506	A3	3.77	3.77	12.04	12.04	Same	Same
10187	10187;A3:10187:44-160:44-184:+	3506	A3	3.77	3.77	-3.57	-3.57	Same	Same
10187	10187;A3:10187:44-184:44-216:+	3506	A3	-3.57	-3.57	12.04	12.04	Same	Same
10188	10188;A3:10188:44-207:44-211:+	1987	A3	8.82	8.9	6.55	7.13	Same	Same
10188	10188;A3:10188:44-159:44-207:+	1987	A3	10.11	10.11	8.82	8.9	Same	Same
10188	10188;A3:10188:44-159:44-211:+	1987	A3	10.11	10.11	6.55	7.13	Same	Same
10189	10189;A3:10189:44-198:44-230:+	6688	A3	6.74	6.74	7.98	7.98	Same	Same
10189	10189;A3:10189:44-198:44-207:+	6688	A3	6.74	6.74	-9.32	-0.73	Same	Created
10189	10189;A3:10189:44-207:44-230:+	6688	A3	-9.32	-0.73	7.98	7.98	Created	Same
1018	1018;A3:1018:44-169:44-227:+	32534	A3	6.6	6.6	4.98	4.98	Same	Same
10191	10191;A3:10191:44-206:44-264:+	1602	A3	7.13	7.13	1.12	1.12	Same	Same
10192	10192;A3:10192:44-240:44-264:+	33292	A3	8.44	8.44	-2.56	-2.56	Same	Same
10192	10192;A3:10192:44-240:44-253:+	33292	A3	8.44	8.44	1.71	1.71	Same	Same
10192	10192;A3:10192:44-253:44-264:+	33292	A3	1.71	1.71	-2.56	-2.56	Same	Same
10193	10193;A3:10193:44-216:44-223:+	10485	A3	9.19	9.19	2.54	2.54	Same	Same
10195	10195;A3:10195:44-212:44-229:+	3543	A3	9.75	9.75	6.25	6.25	Same	Same
10197	10197;A3:10197:44-226:44-228:+	23465	A3	5.17	5.17	-9.46	-9.46	Same	Same
10197	10197;A3:10197:44-158:44-226:+	23465	A3	10.39	10.39	5.17	5.17	Same	Same
10197	10197;A3:10197:44-158:44-228:+	23465	A3	10.39	10.39	-9.46	-9.46	Same	Same
10200	10200;A3:10200:44-164:44-205:+	30103	A3	8.01	8.01	8.33	8.33	Same	Same
10201	10201;A3:10201:44-158:44-208:+	4705	A3	10.25	10.25	4.51	4.51	Same	Same
10204	10204;A3:10204:44-206:44-264:+	1602	A3	7.13	7.13	1.12	1.69	Same	Same
10208	10208;A3:10208:44-279:44-280:+	25757	A3	10.49	10.49	-9.33	-9.33	Same	Same
10212	10212;A3:10212:44-157:44-210:+	16703	A3	8.08	8.08	7.11	7.11	Same	Same
10217	10217;A3:10217:44-209:44-230:+	16137	A3	3.1	3.1	3.79	3.79	Same	Same
10218	10218;A3:10218:44-207:44-225:+	29517	A3	4.77	4.77	-11.48	-5.34	Same	Same
10219	10219;A3:10219:44-215:44-226:+	14030	A3	8.45	6.94	2.1	2.1	Same	Same
10223	10223;A3:10223:44-225:44-245:+	31177	A3	-1.06	-1.53	5.42	5.42	Same	Same
10223	10223;A3:10223:44-207:44-225:+	31177	A3	0.38	7.28	-1.06	-1.53	Created	Same
10223	10223;A3:10223:44-207:44-245:+	31177	A3	0.38	7.28	5.42	5.42	Created	Same
10224	10224;A3:10224:44-211:44-267:+	13565	A3	6.71	6.71	5.08	6.13	Same	Same
10228	10228;A3:10228:44-219:44-260:+	29237	A3	9.14	9.14	3.63	3.63	Same	Same
1022	1022;A3:1022:44-161:44-228:+	22223	A3	10.3	10.3	13.0	13.0	Same	Same
10230	10230;A3:10230:44-210:44-247:+	9404	A3	7.18	7.18	-2.89	-2.89	Same	Same
10230	10230;A3:10230:44-210:44-224:+	9404	A3	7.18	7.18	0.04	-8.49	Same	Destroyed
10230	10230;A3:10230:44-224:44-247:+	9404	A3	0.04	-8.49	-2.89	-2.89	Destroyed	Same
10234	10234;A3:10234:44-193:44-218:+	19118	A3	-4.76	-4.76	9.98	9.98	Same	Same
10237	10237;A3:10237:44-157:44-210:+	16703	A3	8.08	8.08	7.11	7.11	Same	Same
1023	1023;A3:1023:44-157:44-210:+	13118	A3	6.36	6.36	4.18	4.18	Same	Same
10240	10240;A3:10240:44-229:44-241:+	26332	A3	8.0	8.0	-0.29	-0.29	Same	Same
10242	10242;A3:10242:44-205:44-265:+	30968	A3	8.97	8.97	1.53	1.53	Same	Same
10242	10242;A3:10242:44-205:44-271:+	30968	A3	8.97	8.97	-6.01	-6.01	Same	Same
10242	10242;A3:10242:44-205:44-208:+	30968	A3	8.97	8.97	6.3	6.3	Same	Same
10242	10242;A3:10242:44-265:44-271:+	30968	A3	1.53	1.53	-6.01	-6.01	Same	Same
10242	10242;A3:10242:44-208:44-265:+	30968	A3	6.3	6.3	1.53	1.53	Same	Same
10242	10242;A3:10242:44-208:44-271:+	30968	A3	6.3	6.3	-6.01	-6.01	Same	Same
10243	10243;A3:10243:44-205:44-214:+	3930	A3	11.49	3.45	-8.6	-2.16	Destroyed	Same
10250	10250;A3:10250:44-209:44-225:+	15458	A3	11.55	11.55	7.43	7.43	Same	Same
10250	10250;A3:10250:44-160:44-209:+	15458	A3	8.08	8.08	11.55	11.55	Same	Same
10250	10250;A3:10250:44-160:44-225:+	15458	A3	8.08	8.08	7.43	7.43	Same	Same
10251	10251;A3:10251:44-209:44-230:+	16137	A3	3.1	3.1	3.79	3.79	Same	Same
10255	10255;A3:10255:44-209:44-230:+	16137	A3	3.1	3.1	3.79	3.79	Same	Same
10256	10256;A3:10256:44-209:44-269:+	16137	A3	3.1	3.1	1.13	1.13	Same	Same
10256	10256;A3:10256:44-209:44-230:+	16137	A3	3.1	3.1	3.79	3.79	Same	Same
10256	10256;A3:10256:44-230:44-269:+	16137	A3	3.79	3.79	1.13	1.13	Same	Same
10258	10258;A3:10258:44-164:44-253:+	10145	A3	6.42	6.42	6.95	6.95	Same	Same
10259	10259;A3:10259:44-160:44-233:+	11893	A3	8.41	8.41	6.81	6.81	Same	Same
10261	10261;A3:10261:44-226:44-228:+	28748	A3	0.08	-16.71	-11.85	1.27	Destroyed	Same
10261	10261;A3:10261:44-191:44-226:+	28748	A3	1.86	1.86	0.08	-16.71	Same	Destroyed
10261	10261;A3:10261:44-191:44-228:+	28748	A3	1.86	1.86	-11.85	1.27	Same	Same
10262	10262;A3:10262:44-202:44-205:+	3930	A3	0.81	6.57	11.49	6.2	Created	Same
10265	10265;A3:10265:44-219:44-243:+	23637	A3	9.13	9.13	-21.45	-21.45	Same	Same
10268	10268;A3:10268:44-176:44-227:+	11733	A3	-2.92	-2.92	6.9	6.9	Same	Same
10270	10270;A3:10270:44-169:44-227:+	32534	A3	6.6	6.6	4.98	4.98	Same	Same
10271	10271;A3:10271:44-205:44-208:+	23600	A3	6.84	6.84	3.47	3.47	Same	Same
10275	10275;A3:10275:44-234:44-237:+	7280	A3	6.84	6.84	3.47	3.47	Same	Same
10279	10279;A3:10279:44-242:44-246:+	24819	A3	6.36	6.36	-2.04	-2.04	Same	Same
1027	1027;A3:1027:44-166:44-208:+	4705	A3	0.75	0.75	4.51	4.51	Same	Same
10280	10280;A3:10280:44-191:44-226:+	28748	A3	1.86	1.86	0.08	-10.61	Same	Same
10282	10282;A3:10282:44-205:44-208:+	23600	A3	6.84	6.84	3.47	3.47	Same	Same
10283	10283;A3:10283:44-220:44-244:+	10408	A3	12.69	12.69	6.25	6.25	Same	Same
10284	10284;A3:10284:44-205:44-216:+	14003	A3	8.68	8.68	6.32	3.75	Same	Same
10285	10285;A3:10285:44-157:44-210:+	16703	A3	8.08	8.08	7.11	7.11	Same	Same
10287	10287;A3:10287:44-160:44-216:+	3506	A3	3.77	3.77	12.04	12.04	Same	Same
10290	10290;A3:10290:44-211:44-253:+	366	A3	8.24	8.24	-3.62	-3.62	Same	Same
10292	10292;A3:10292:44-213:44-217:+	26693	A3	9.46	9.46	-4.62	-4.62	Same	Same
10292	10292;A3:10292:44-168:44-213:+	26693	A3	11.81	11.81	9.46	9.46	Same	Same
10292	10292;A3:10292:44-168:44-217:+	26693	A3	11.81	11.81	-4.62	-4.62	Same	Same
10298	10298;A3:10298:44-159:44-209:+	19490	A3	7.26	7.26	7.54	7.54	Same	Same
1029	1029;A3:1029:44-160:44-212:+	14612	A3	7.85	7.85	6.57	6.57	Same	Same
